customer_id,first_name,last_name,date_of_birth,gender,city,state,pincode,email,phone,premium_tier,join_date
C0001,Zayyan,Sidhu,2013-02-04,F,Vadodara,Kerala,857307,samaksh69@example.org,3870430558,Silver,2022-10-06
C0002,Anay,Krishnan,1970-04-30,M,Khandwa,Mizoram,014257,lalanamika@example.net,04636607487,Gold,2022-05-24
C0003,Raagini,Natt,1948-07-17,F,Nangloi Jat,Rajasthan,622908,bosechaitaly@example.org,06849529903,Silver,2022-10-06
C0004,Abhimanyu,Sawhney,1969-10-10,F,Aligarh,Kerala,670316,krishna37@example.com,+913336310746,Bronze,2024-03-31
C0005,Isaac,Prabhakar,1954-03-24,M,Sri Ganganagar,West Bengal,978355,mistrykrish@example.com,+912862643368,Silver,2023-07-25
C0006,Gautam,Deep,1983-02-10,F,Tiruvottiyur,Arunachal Pradesh,797393,mahalbina@example.net,6147799833,Gold,2026-03-07
C0007,Sarthak,Sarin,1944-06-16,M,Dehradun,Arunachal Pradesh,655512,rakshavaidya@example.com,6986152812,Bronze,2024-11-22
C0008,Tristan,Gaba,2019-01-27,F,Bijapur,Tripura,818700,zbatra@example.net,04375690257,Silver,2023-12-23
C0009,Zaitra,Barad,2008-08-11,M,Gopalpur,Mizoram,647588,patelvidhi@example.com,7792069912,Silver,2023-06-30
C0010,Luke,Sinha,1993-11-13,F,Gaya,Gujarat,376440,bhora@example.com,05722017764,Silver,2022-01-25
C0011,Barkha,Yohannan,1945-08-16,M,Gandhidham,Rajasthan,893014,daksheshchowdhury@example.net,9892093281,Bronze,2022-10-28
C0012,Idika,Ahuja,2002-11-11,F,Hindupur,Tamil Nadu,143142,ronith93@example.com,8003221607,Bronze,2023-11-06
C0013,Jeet,Dar,1980-03-20,F,Sangli-Miraj & Kupwad,Manipur,078648,labanghose@example.net,+914506091423,Silver,2022-09-17
C0014,Vaishnavi,Das,1960-07-16,F,Asansol,Goa,009355,chandkrishna@example.com,6349302148,Silver,2024-01-15
C0015,Harshil,Mutti,1975-10-19,F,Satna,Karnataka,661840,omaja01@example.net,5253637385,Silver,2021-05-20
C0016,Daksh,Bahl,1991-02-19,F,Gudivada,Karnataka,484019,faras58@example.org,+918512923101,Gold,2023-09-09
C0017,Ira,Sankar,1922-05-29,F,Mahbubnagar,Haryana,425805,panchalekansh@example.org,8297066201,Bronze,2025-02-13
C0018,Yashodhara,Pandit,1958-11-04,M,Unnao,Mizoram,226963,arunimachakraborty@example.org,+915730581618,Silver,2025-02-27
C0019,Aashi,Dubey,1919-06-27,F,Motihari,Uttarakhand,138239,veer95@example.net,6100944671,Bronze,2024-07-16
C0020,Vihaan,Lal,1924-04-03,F,Haridwar,Manipur,539095,shettymason@example.net,05329766734,Bronze,2023-07-07
C0021,Aarav,Sanghvi,1913-07-11,F,Vellore,Mizoram,045352,rakshatandon@example.net,4160899769,Bronze,2025-09-16
C0022,Vrishti,Palan,1925-10-24,M,Ghaziabad,Telangana,618706,xkunda@example.com,+915203208665,Bronze,2021-09-09
C0023,Chandran,Reddy,1945-04-17,M,Eluru,Chhattisgarh,182958,ishwardeshpande@example.net,09873693371,Silver,2025-07-07
C0024,Pranav,Naik,2024-02-06,M,Kottayam,Meghalaya,667210,aahanabarad@example.com,+913073762065,Gold,2024-08-06
C0025,Charita,Shan,1918-09-07,F,Gudivada,Madhya Pradesh,327328,riatara@example.org,+916710762825,Silver,2022-08-24
C0026,Guneet,Murty,2022-05-15,F,Munger,Nagaland,692531,kdada@example.com,+913476154745,Silver,2024-04-07
C0027,Aadi,Dutt,1976-10-25,F,Bhind,Tripura,578237,kabiratwal@example.org,+914930526092,Gold,2022-01-27
C0028,Quincy,Nori,1972-07-31,F,Ulhasnagar,Goa,768805,urmisodhi@example.org,3850083783,Bronze,2024-06-15
C0029,Rushil,Rao,1962-05-16,M,Ahmedabad,Jharkhand,690177,yatanmurthy@example.com,09859618506,Bronze,2025-09-20
C0030,Ayushman,Dara,1914-04-12,M,Medininagar,Punjab,284958,upmabhargava@example.org,+919632977045,Gold,2023-12-06
C0031,Robert,Bhatti,1949-08-28,M,Nashik,West Bengal,443463,keyaravel@example.com,8185793709,Gold,2025-06-02
C0032,Harsh,Chandra,1934-05-24,F,Nadiad,Gujarat,835752,oshamurthy@example.org,7225299543,Silver,2023-09-18
C0033,Gautami,Krishnan,2003-07-11,F,Bettiah,Nagaland,033448,sarthak23@example.org,6390123835,Bronze,2025-11-28
C0034,Balhaar,Bose,1966-06-10,M,Sultan Pur Majra,Arunachal Pradesh,742807,anayak@example.com,+917869383369,Gold,2021-07-31
C0035,Varenya,Zacharia,1932-05-17,M,Bhatpara,Uttarakhand,911487,bkurian@example.com,+911454427798,Bronze,2024-12-04
C0036,Xavier,Sekhon,1940-05-16,F,Firozabad,Goa,291666,aryachandra@example.com,+910282611785,Gold,2023-02-18
C0037,Nihal,Misra,1991-10-03,M,Bongaigaon,Kerala,375611,bumbpranit@example.org,02609076442,Silver,2024-02-04
C0038,Aarush,Mishra,1919-10-07,F,Kumbakonam,Tamil Nadu,759954,ybutala@example.org,+911137340467,Gold,2025-07-07
C0039,Umang,Chakraborty,1983-08-05,M,Raipur,Himachal Pradesh,824107,samesh25@example.net,6294648014,Gold,2021-06-19
C0040,Chaitanya,Ghose,1952-01-29,M,Munger,Chhattisgarh,355699,rajugaurav@example.net,1341149945,Silver,2022-07-05
C0041,Victor,Barad,1918-09-19,M,Gangtok,Sikkim,623316,ibarad@example.org,01749653734,Gold,2024-01-16
C0042,Qushi,Devan,2007-09-03,F,Solapur,Sikkim,702727,geetikatrivedi@example.com,8031890503,Gold,2023-04-28
C0043,Tanvi,Kar,2026-03-05,F,Danapur,Goa,369639,meghana15@example.net,+913372114397,Bronze,2025-09-30
C0044,Ranveer,Dash,1919-06-23,F,Dhanbad,Manipur,430480,omgeorge@example.com,07760842196,Silver,2023-03-08
C0045,Avi,Wason,1957-12-01,F,Bhagalpur,Bihar,681671,udyati25@example.org,9496609907,Silver,2025-06-09
C0046,Aarnav,Khurana,1954-09-03,F,New Delhi,Mizoram,916209,arin15@example.com,0202251146,Bronze,2023-02-13
C0047,Abhiram,Sagar,1928-10-08,F,Nizamabad,Karnataka,402298,jnigam@example.com,+919463302388,Gold,2025-07-13
C0048,Jairaj,Narain,1953-01-31,M,Shahjahanpur,Assam,016315,aadimangat@example.net,03137082305,Silver,2021-06-03
C0049,Laksh,Nagar,1958-01-15,F,Surendranagar Dudhrej,Andhra Pradesh,143239,sneha08@example.net,0696432570,Bronze,2025-09-21
C0050,Kashvi,Pal,1987-11-04,M,Sultan Pur Majra,Nagaland,389041,alkadugal@example.net,+913236914818,Silver,2024-05-17
C0051,Ekiya,Chander,1929-08-28,F,Amroha,Nagaland,310728,chandransahota@example.org,1381101945,Gold,2026-03-10
C0052,Sathvik,Grewal,1987-12-31,M,Morbi,Himachal Pradesh,086656,ikannan@example.com,+912417031052,Silver,2025-04-18
C0053,Finn,Ghose,1914-09-08,F,Bareilly,Meghalaya,281467,nathan59@example.net,07182461421,Silver,2026-02-09
C0054,Ira,Dayal,1991-06-02,F,Solapur,West Bengal,328334,wwable@example.com,+918237245099,Silver,2022-11-27
C0055,Caleb,Oommen,1978-07-02,M,Jaipur,Chhattisgarh,347287,ekbal55@example.com,09075302399,Gold,2024-03-13
C0056,Indali,Kale,1996-12-13,M,Hyderabad,Kerala,948665,yashvi10@example.org,04372390969,Gold,2022-11-04
C0057,Laban,Swaminathan,1915-07-08,M,Madanapalle,Kerala,800767,ganga58@example.com,+919107456958,Silver,2024-12-11
C0058,Oeshi,Mandal,1984-10-18,F,Bareilly,Odisha,106061,hemanginihanda@example.net,06814437104,Bronze,2024-11-09
C0059,Orinder,Mani,1994-05-10,M,Bhiwani,Himachal Pradesh,159137,fpatil@example.org,02444425954,Bronze,2022-03-01
C0060,Saanvi,Devan,1932-11-12,M,Kochi,West Bengal,255027,desairishi@example.com,4912899068,Gold,2023-10-27
C0061,Yutika,Sachar,1918-02-21,F,Bhilwara,Mizoram,958009,anirudhdada@example.com,6753820006,Silver,2025-05-14
C0062,Shravya,More,2021-03-10,M,Maheshtala,Punjab,470715,yoshitasachar@example.net,1268762536,Bronze,2022-03-14
C0063,Kala,Jha,1960-07-24,M,Morbi,Uttarakhand,849266,samesh41@example.com,6479176001,Gold,2023-06-11
C0064,Jackson,Chandra,1948-07-11,F,Bilaspur,Uttar Pradesh,259887,rrau@example.org,03373484767,Gold,2024-11-29
